Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
1,1972,Female,Manufacturing,Food Product Manufacturing,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
2,1972,Male,Wholesale Trade,Other Goods Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
3,1982,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
4,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
5,1991,Male,"Transport, Postal and Warehousing",Other Transport,Managers,Specialist Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,,,,
6,1989,Male,Retail Trade,Food Retailing,Sales ,Sales Support ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,10%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
7,1973,Male,Financial and Insurance Services,Finance,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
8,1992,Male,Manufacturing,Polymer Product and Rubber Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
9,1977,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Single person,More than 5 years,Metro,60%,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
10,1985,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,Specialist Managers,More than 200,No,Group household,More than 5 years,Metro,20%,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
11,1980,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Single person,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
12,1989,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
