"dburl","title","budget","gross","abstract"
"http://dbpedia.org/resource/Carrie_(2013_film)","Carrie","3.0E7","8.5E7","Carrie is a 2013 American supernatural horror film, directed by Kimberly Peirce, and is the third film adaptation of Stephen King's 1974 novel of the same name. The film was produced by Kevin Misher, with a screenplay by Lawrence D. Cohen & Roberto Aguirre-Sacasa. The film was released by Metro-Goldwyn-Mayer and Screen Gems on October 18, 2013. The film stars Chloë Grace Moretz as the titular Carrie White, and Julianne Moore as Carrie's mother, Margaret White, Judy Greer as Ms. Desjardin, Portia Doubleday as Chris Hargensen, Gabriella Wilde as Sue Snell, Ansel Elgort as Tommy Ross, and Alex Russell as Billy Nolan. The film is a re-imagining of the horror novel about Carrie White (Moretz), a shy girl outcast by her peers and sheltered by her deeply religious mother (Moore), who uses her telekinetic powers with devastating effect after being a victim of a cruel prank at her senior prom. The film grossed $85 million at the box-office."
"http://dbpedia.org/resource/Turbo_(film)","Turbo","1.27E8","2.826E8","Turbo is a 2013 American 3D computer-animated comedy sports film produced by DreamWorks Animation and distributed by 20th Century Fox. It is based on an original idea by David Soren, who also directed the film in his feature debut. Set in Los Angeles, the film features an ordinary garden snail whose dream to become the fastest snail in the world comes true. The film was released on July 17, 2013. The film stars the voices of Ryan Reynolds, Paul Giamatti, Michael Peña, Snoop Dogg, Maya Rudolph, Michelle Rodriguez and Samuel L. Jackson. The film was met with generally positive reviews. Despite earning $282.5 million on a $127 million budget, the studio had to take a total of $15.6 million write-down on behalf of the film. A television series based on the film, titled Turbo FAST (Fast Action Stunt Team), was put into production a year before the film's release, and it first aired on Netflix on December 24, 2013."
"http://dbpedia.org/resource/Legends_of_Oz:_Dorothy's_Return","Legends of Oz: Dorothy's Return","7.0E7","1.87E7","Legends of Oz: Dorothy's Return is a 2013 American-Indian 3D computer-animated musical fantasy comedy film that is loosely based on the book Dorothy of Oz by L. Frank Baum's great-grandson Roger Stanton Baum. It was directed by Daniel St. Pierre and Will Finn. The film stars the voices of Lea Michele, Dan Aykroyd, Jim Belushi, Kelsey Grammer, Hugh Dancy, Megan Hilty, Oliver Platt, Patrick Stewart, Bernadette Peters, and Martin Short. The film premiered at the Annecy International Animated Film Festival in France on June 14, 2013 and was released in the United States and Canada on May 9, 2014. The film grossed $18 million worldwide against a $70 million budget."
"http://dbpedia.org/resource/Out_of_the_Furnace","Out of the Furnace","2.2E7","1.57E7","Out of the Furnace is a 2013 American thriller film, directed by Scott Cooper, from a screenplay written by Cooper and Brad Ingelsby. Produced by Ridley Scott and Leonardo DiCaprio, the film stars Christian Bale, Casey Affleck, Woody Harrelson, Zoe Saldana, Forest Whitaker, Willem Dafoe, and Sam Shepard. The film is about a Pennsylvania steel mill worker Russell Baze (Bale) and his Iraq war veteran brother Rodney (Affleck), who cannot adjust to civilian life. While Rodney makes some money doing bareknuckle fights for bar owner and small-time criminal John Petty (Dafoe), who runs illegal gambling operations, Rodney becomes so indebted due to his own gambling losses that he begs Petty to let him do a big money fight. After Petty reluctantly arranges for Rodney to do a fight for a ruthless criminal gang in the backwoods, Rodney disappears, and his brother tries to find out what has happened to him. The film received a limited release in Los Angeles and New York City on December 4, 2013, followed by a wide theatrical release on December 6. The film earned $15.7 million against its $22 million budget and it received mixed reviews."
"http://dbpedia.org/resource/American_Hustle","American Hustle","4.0E7","2.511E8","American Hustle is a 2013 American dark comedy crime film directed by David O. Russell. It was written by Eric Warren Singer and Russell, inspired by the FBI ABSCAM operation of the late 1970s and early 1980s. It stars Christian Bale and Amy Adams as two con artists who are forced by an FBI agent (Bradley Cooper) to set up an elaborate sting operation on corrupt politicians, including the mayor of Camden, New Jersey (Jeremy Renner). Jennifer Lawrence plays the unpredictable wife of Bale's character. Principal photography on the film began on March 8, 2013, in Boston and Worcester, Massachusetts, and New York City. American Hustle had its nationwide release in the United States on December 13, 2013. It opened to wide acclaim from critics, who praised its writing and ensemble cast. The film received ten nominations at the 86th Academy Awards, including Best Picture, Best Director, Best Original Screenplay, Best Actor (Bale), Best Actress (Adams), Best Supporting Actor (Cooper), and Best Supporting Actress (Lawrence), but did not win in any category. It received three BAFTA Awards, three Golden Globe Awards including Best Motion Picture – Musical or Comedy, and the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture."
"http://dbpedia.org/resource/August:_Osage_County_(film)","August: Osage County","3.7E7","7.4188937E7","August: Osage County is a 2013 American family-dark comedy-drama film written by Tracy Letts and based on his Pulitzer Prize–winning play of the same name, and directed by John Wells. It is produced by George Clooney, Grant Heslov, Jean Doumanian and Steve Traxler. The film stars an ensemble cast consisting of Meryl Streep, Julia Roberts, Ewan McGregor, Chris Cooper, Abigail Breslin, Benedict Cumberbatch, Juliette Lewis, Margo Martindale, Dermot Mulroney, and Julianne Nicholson as a dysfunctional family that reunites into the familial house when their patriarch (Sam Shepard) suddenly disappears. A modest commercial success, August: Osage County received mixed to positive reviews from critics. While much praise was given to the cast, the screenplay was praised by some and seen by others as too dark and lacking in humor. For their performances in the film, Streep and Roberts received Academy Award nominations for Best Actress and Best Supporting Actress, respectively."
"http://dbpedia.org/resource/Belle_(2013_film)","Belle","1.09E7","1.65E7","Belle is a 2013 British period drama film directed by Amma Asante, written by Misan Sagay and produced by Damian Jones. It stars Gugu Mbatha-Raw, Tom Wilkinson, Miranda Richardson, Penelope Wilton, Sam Reid, Matthew Goode, Emily Watson, Sarah Gadon, Tom Felton and James Norton. The film is inspired by the 1779 painting of Dido Elizabeth Belle beside her cousin Lady Elizabeth Murray, at Kenwood House, which was commissioned by their great-uncle, William Murray, 1st Earl of Mansfield, then Lord Chief Justice of England. Very little is known about the life of Dido Belle, who was born in the West Indies and was the illegitimate mixed-race daughter of Mansfield's nephew. She is found living in poverty by her father and entrusted to the care of Mansfield and his wife. The fictional film centres on Dido's relationship with an aspiring lawyer; it is set at a time of legal significance, as a court case is heard on what became known as the Zong massacre, when slaves were thrown overboard from a slave ship and the owner filed with his insurance company for the losses. Lord Mansfield rules on this case in England's Court of King's Bench in 1786, in a decision seen to contribute to the abolition of slavery in Britain."
"http://dbpedia.org/resource/Homefront_(film)","Homefront","2.2E7","4.31E7","Homefront is a 2013 American action thriller film directed by Gary Fleder and released nationwide in theaters on November 27. Based on Chuck Logan's novel of the same name and adapted into a screenplay by Sylvester Stallone, the film stars Jason Statham, James Franco, Winona Ryder, and Kate Bosworth. Filming began on October 1, 2012 in New Orleans."
"http://dbpedia.org/resource/Lovelace_(film)","Lovelace","1.2E7","1600000.0","Lovelace is a 2013 American biographical drama film about porn actress Linda Boreman, better known as Linda Lovelace, star of Deep Throat, a seminal 1972 film at the forefront of the Golden Age of Porn. Lovelace covers her life from age 20 to 32. Directed by Rob Epstein and Jeffrey Friedman, the film was written by Andy Bellin and stars Amanda Seyfried, Peter Sarsgaard, Sharon Stone, Adam Brody, James Franco, Chloë Sevigny, and Juno Temple. The film had its world premiere on January 22, 2013, at the 2013 Sundance Film Festival and opened in a U.S. limited release on August 9, 2013."
"http://dbpedia.org/resource/Man_of_Steel_(film)","Man of Steel","2.25E8","6.68E8","Man of Steel is a 2013 superhero film featuring the DC Comics character Superman. It is a British-American venture produced by Legendary Pictures, DC Entertainment and Syncopy Inc., distributed by Warner Bros. Pictures, and is the first installment in the DC Extended Universe. Directed by Zack Snyder and written by David S. Goyer, the film stars Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane, Laurence Fishburne, Antje Traue, Ayelet Zurer, Christopher Meloni, and Russell Crowe. Man of Steel is a reboot of the Superman film series that retells the character's origin story. In the film, Clark Kent learns that he is a superpowered alien from the planet Krypton and assumes the role of mankind's protector as Superman, but finds himself having to prevent General Zod from destroying humanity. Development began in 2008 when Warner Bros. Pictures took pitches from comic book writers, screenwriters and directors, opting to reboot the franchise. In 2009, a court ruling resulted in Jerry Siegel's family recapturing the rights to Superman's origins and Siegel's copyright. The decision stated that Warner Bros. did not owe the families additional royalties from previous films, but if they did not begin production on a Superman film by 2011, then the Shuster and Siegel estates would be able to sue for lost revenue on an unproduced film. Producer Christopher Nolan pitched Goyer's idea after story discussion on The Dark Knight Rises, and Snyder was hired as the film's director in October 2010. Principal photography began in August 2011 in West Chicago, Illinois, before moving to Vancouver and Plano, Illinois. Man of Steel was released to the general public on June 14, 2013, in conventional, 3D, and IMAX theaters. Despite receiving mixed reviews, the film became a box office success, grossing over $668 million worldwide. Critics praised the film's visuals, action sequences and Hans Zimmer's musical score but criticized its pacing and lack of character development. A follow-up, titled Batman v Superman: Dawn of Justice, was released on March 25, 2016."
"http://dbpedia.org/resource/Snitch_(film)","Snitch","1.5E7","5.78E7","Snitch is a 2013 American crime drama film directed by Ric Roman Waugh and starring Dwayne Johnson. The film was released in the United States on February 22, 2013. The film also stars Barry Pepper, Susan Sarandon, Jon Bernthal, Benjamin Bratt and Michael Kenneth Williams."
"http://dbpedia.org/resource/The_Call_(2013_film)","The Call","1.3E7","6.86E7","The Call is a 2013 American crime thriller film directed by Brad Anderson and written by Richard D'Ovidio. The film stars Abigail Breslin as Casey Welson, a teenage girl kidnapped by a serial killer and Halle Berry as Jordan Turner, a 9-1-1 operator, still suffering emotionally from a prior botched 9-1-1 call, who receives Casey's call. Morris Chestnut, Michael Eklund, Michael Imperioli, and David Otunga also star. The story was originally envisioned as a television series, but D'Ovidio later rewrote it as a 94-minute feature film. Filming began in July 2012 and spanned a period of 25 days, with all scenes being shot in California, mainly Burbank and Santa Clarita. A screening of The Call was held at the Women's International Film Festival hosted at the Regal South Beach theater on February 26, 2013. TriStar Pictures released it to theatres a few weeks later on March 15, 2013. Considered to be high-concept by many reviewers, the film proved a commercial success, grossing over $68 million against budget of $13 million. Halle Berry was nominated for Choice Movie Actress in a Drama at the Teen Choice Awards and Best Actress at the BET Awards and the film received generally mixed reviews from critics, but praised Berry's performance and the film's suspense."
"http://dbpedia.org/resource/The_Family_(2013_film)","The Family","3.0E7","7.84E7","The Family (released as Malavita and Cosa Nostra in some countries) is a 2013 crime comedy film directed by Luc Besson, starring Robert De Niro, Michelle Pfeiffer, Tommy Lee Jones, Dianna Agron, and John D'Leo. The film follows a Mafia family under the witness protection program that want to change their lives. The film is based on the French novel Malavita (Badfellas in the 2010 English translation) by Tonino Benacquista."
"http://dbpedia.org/resource/The_Secret_Life_of_Walter_Mitty_(2013_film)","The Secret Life of Walter Mitty","9.0E7","1.885E8","The Secret Life of Walter Mitty is a 2013 American comedy adventure film written by Steve Conrad and directed, produced (with Samuel Goldwyn, Jr., John Goldwyn and Stuart Cornfeld) and starring Ben Stiller. The film also stars Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, and Sean Penn. Gore Verbinski served as executive producer. This is the second film adaptation of James Thurber's 1939 short story of the same name. The film premiered at the New York Film Festival on October 5, 2013. The Secret Life of Walter Mitty was theatrically released by 20th Century Fox, Samuel Goldwyn Films and New Line Cinema on December 25, 2013 in North America and December 26, 2013 in Australia & United Kingdom, to generally mixed reception, and was a moderate box office success. The Secret Life of Walter Mitty was released on DVD and Blu-ray on April 15, 2014 by 20th Century Fox Home Entertainment."
"http://dbpedia.org/resource/Elysium_(film)","Elysium","1.15E8","2.861E8","Elysium is a 2013 American science fiction action thriller film produced, written and directed by Neill Blomkamp. It stars Matt Damon, Jodie Foster, Alice Braga, and Sharlto Copley. The film takes place on both a ravaged Earth, and a luxurious space habitat (Stanford torus design) called Elysium. The film itself offers deliberate social commentary which explores political and sociological themes such as immigration, overpopulation, health care, worker exploitation, the justice system, and social class issues. The film was released on August 9, 2013 by TriStar Pictures, in both conventional and IMAX Digital theaters. It was a modest success and received generally positive reviews from critics, even though many considered it a disappointment after Blomkamp's first film District 9. Elysium was released on DVD and Blu-ray discs in Region 1 on December 17, 2013."
"http://dbpedia.org/resource/Diana_(film)","Diana","1.5E7","2.17E7","Diana is a 2013 biographical drama film, directed by Oliver Hirschbiegel, about the last two years of the life of Diana, Princess of Wales. The screenplay is based on Kate Snell's 2001 book Diana: Her Last Love, and was written by Stephen Jeffreys. Anglo-Australian actress Naomi Watts plays the title role of Diana. The world premiere of the film was held in London on 5 September 2013. It was released in the UK on 20 September 2013. The film received negative reviews from both the British and American critics."
