"dburl","title","budget","gross","abstract"
"http://dbpedia.org/resource/Carrie_(2013_film)","Carrie","3.0E7","8.48E7","Carrie is a 2013 American supernatural horror film directed by Kimberly Peirce. It is the third film adaptation and a remake to the 1976 adaptation of Stephen King's 1974 novel of the same name and the fourth film in the Carrie franchise. The film was produced by Kevin Misher, with a screenplay by Lawrence D. Cohen and Roberto Aguirre-Sacasa. The film stars Chloë Grace Moretz as the titular character Carrie White, alongside Julianne Moore as Margaret White. The cast also features Judy Greer, Portia Doubleday, Gabriella Wilde, Ansel Elgort and Alex Russell. The film is a modern re-imagining of King's novel about a shy girl outcast by her peers and sheltered by her deeply religious mother, who uses her telekinetic powers with devastating effect after falling victim to a cruel prank at her senior prom. The film held its world premiere at the Arclight Hollywood in Los Angeles on October 7, 2013, and was released in the United States by Metro-Goldwyn-Mayer and Screen Gems on October 18, 2013. The film received mixed reviews, with critics calling it ""unnecessary"" and criticizing the lack of originality and scares, though they praised the modern updates and cast. It grossed $84 million worldwide at the box office."
"http://dbpedia.org/resource/Prisoners_(2013_film)","Prisoners","4.6E7","1.221E8","Prisoners is a 2013 American thriller film directed by Denis Villeneuve from a screenplay written by Aaron Guzikowski. The film has an ensemble cast including Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, and Paul Dano. The plot focuses on the abduction of two young girls in Pennsylvania and the subsequent search for the suspected abductor by the police. After police arrest a young suspect and release him, the father of one of the daughters takes matters into his own hands. The film was a financial and critical success, grossing US$122 million worldwide. It was chosen by the National Board of Review as one of the top ten films of 2013, and at the 86th Academy Awards, it was nominated for Best Cinematography."
"http://dbpedia.org/resource/Queens_of_the_Ring","Queens of the Ring","1.24E7","1700000.0","Queens of the Ring (French: Les reines du ring) is a 2013 French comedy film directed by Jean-Marc Rudnicki. The film was supported by WWE Studios."
"http://dbpedia.org/resource/Robosapien:_Rebooted","Robosapien: Rebooted","1.5E7","290502.0","Robosapien: Rebooted (also known as Cody the Robosapien) is a 2013 Canadian–American science fiction family drama film starring Bobby Coleman, Holliston Coleman, Penelope Ann Miller, David Eigenberg, Joaquim de Almeida, Kim Coates, Jae Head and Peter Jason, produced by Arad Productions Inc., Arc Productions, Crystal Sky Pictures and Brookwell McNamara Entertainment and distributed by Anchor Bay Films and TVA Films. It is based on the toy Robosapien. Produced by Avi Arad and Steven Paul, written by Max Botkin from a story by Arad and directed by Sean McNamara with music by John Coda, the film is about a young boy who befriends a robot. The film was theatrically released on May 28, 2013 by Anchor Bay Films and TVA Films."
"http://dbpedia.org/resource/Saving_Mr._Banks","Saving Mr. Banks","3.5E7","1.179E8","Saving Mr. Banks is a 2013 biographical drama film directed by John Lee Hancock from a screenplay written by Kelly Marcel and Sue Smith. Centered on the development of the 1964 film Mary Poppins, the film stars Emma Thompson as author P. L. Travers and Tom Hanks as film producer Walt Disney, with supporting performances by Paul Giamatti, Jason Schwartzman, Bradley Whitford, Colin Farrell, Ruth Wilson, and B.J. Novak. Deriving its title from the father in Travers's story, Saving Mr. Banks depicts the author's tragic childhood in rural Queensland in 1906 and the two weeks of meetings during 1961 in Los Angeles, during which Disney attempts to obtain the screen rights to her novels. Essential Media Entertainment and BBC Films initially developed Saving Mr. Banks as an independent production until 2011, when producer Alison Owen approached Walt Disney Pictures for permission to use copyrighted elements. The film's subject matter piqued Disney's interest, leading the studio to acquire the screenplay and produce the film. Principal photography commenced the following year in September before wrapping in November 2012; the film was shot almost entirely in the Southern California area, primarily at the Walt Disney Studios in Burbank, where a majority of the film's narrative takes place. Saving Mr. Banks premiered at the London Film Festival on October 20, 2013, and was released theatrically that same year in the United Kingdom on November 29 and in North America on December 13. It received positive reviews, with praise for the acting, screenplay, and musical score. Thompson's performance garnered BAFTA Award, Golden Globe Award, Screen Actors Guild Award, and Critics' Choice Award nominations for Best Actress, while composer Thomas Newman earned an Academy Award nomination for Best Original Score. The film was named one of the ten best films of 2013 by the National Board of Review and the American Film Institute, and was also commercially successful, grossing $118 million at the worldwide box office."
"http://dbpedia.org/resource/Scary_Movie_5","Scary Movie 5","2.0E7","7.84E7","Scary Movie 5 (stylized on-screen as Scary MoVie) is a 2013 American comedy horror film. It is the standalone sequel to Scary Movie 4 and the fifth and final installment in the Scary Movie film series. It is the second film to be distributed by The Weinstein Company under the Dimension Films brand, and the last before it folded in 2018. The film is directed by Malcolm D. Lee and written by David Zucker and Pat Proft. It was released on April 12, 2013.The film is the only installment of the franchise not to feature Cindy Campbell (played by Anna Faris) or Brenda Meeks (Regina Hall). It premiered on April 11, at the Hollywood’s ArcLight Cinerama Dome. The film parodies various horror films and other popular culture. The film received negative reviews from critics. With a gross of $78 million, it is the lowest grossing film in the Scary Movie series, as well as being the only one to not make over $100 million. ""Scary Movie 5"" director Malcolm D. Lee was very critical of this movie, saying that the movie is a terrible movie and not worth anybody's time watching it."
"http://dbpedia.org/resource/Battle_of_the_Year_(film)","Battle of the Year","2.0E7","1.65E7","Battle of the Year is a 2013 American 3D dance film directed by Benson Lee. The film was released on September 20, 2013 through Screen Gems and stars Josh Holloway, Chris Brown, Laz Alonso, Caity Lotz, and Josh Peck. Battle of the Year is based upon Lee's award-winning 2007 documentary Planet B-Boy, about the b-boying competition of the same name. The feature film includes cinematography by Vasco Nunes, Lee's director of photography on the original documentary."
"http://dbpedia.org/resource/Belle_(2013_film)","Belle","1.09E7","1.65E7","Belle is a 2013 British period drama film directed by Amma Asante, written by Misan Sagay and produced by Damian Jones. It stars Gugu Mbatha-Raw, Tom Wilkinson, Miranda Richardson, Penelope Wilton, Sam Reid, Matthew Goode, Emily Watson, Sarah Gadon, Tom Felton, and James Norton. The film is inspired by the 1779 painting of Dido Elizabeth Belle beside her cousin Lady Elizabeth Murray at Kenwood House, which was commissioned by their great-uncle, William Murray, 1st Earl of Mansfield, then Lord Chief Justice of England. Very little is known about the life of Dido Belle, who was born in the West Indies and was the illegitimate mixed-race daughter of Mansfield's nephew, Sir John Lindsay. She is found living in poverty by her father and entrusted to the care of Mansfield and his wife. The fictional film centres on Dido's relationship with an aspiring lawyer; it is set at a time of legal significance, as a court case is heard on what became known as the Zong massacre, when slaves were thrown overboard from a slave ship and the owner filed with his insurance company for the losses. Lord Mansfield ruled on this case in England's Court of King's Bench in 1786, in a decision seen to contribute to the Abolition of the Slave Trade Act of 1807."
"http://dbpedia.org/resource/Black_Nativity_(film)","Black Nativity","1.75E7","7500000.0","Black Nativity is a 2013 American musical drama film directed by Kasi Lemmons. The script, written by Lemmons, is based on Langston Hughes' 1961 play of the same name and released on November 27, 2013. The film stars an ensemble cast, featuring Forest Whitaker, Angela Bassett, Tyrese Gibson, Jennifer Hudson, Mary J. Blige, Jacob Latimore, Vondie Curtis-Hall, and rapper Nas."
"http://dbpedia.org/resource/Blind_Detective","Blind Detective","8.5E7","3.6417038E7","Blind Detective is a 2013 Hong Kong-Chinese action crime romantic comedy film directed by Johnnie To and starring Andy Lau and Sammi Cheng. The film was shown as part of the Shanghai International Film Festival."
